iter	Passed	Remaining
0	8	41138
1	15	38839
2	22	38058
3	29	37110
4	36	36077
5	42	35201
6	48	34436
7	54	34014
8	61	34126
9	68	33932
10	74	33780
11	80	33548
12	86	33241
13	92	32878
14	97	32549
15	103	32264
16	108	31892
17	114	31640
18	120	31461
19	125	31231
20	130	31029
21	136	30832
22	141	30624
23	146	30467
24	152	30288
25	157	30097
26	162	29986
27	167	29816
28	173	29707
29	178	29592
30	183	29438
31	188	29265
32	193	29074
33	198	28925
34	202	28765
35	207	28619
36	212	28471
37	216	28333
38	221	28182
39	226	28055
40	231	27961
41	235	27855
42	240	27753
43	245	27647
44	250	27533
45	254	27450
46	259	27347
47	264	27248
48	268	27165
49	273	27083
50	278	26999
51	282	26917
52	287	26839
53	292	26773
54	296	26675
55	301	26627
56	306	26566
57	311	26505
58	315	26445
59	320	26389
60	325	26334
61	329	26274
62	334	26213
63	339	26159
64	343	26091
65	348	26039
66	352	25975
67	357	25920
68	361	25869
69	366	25822
70	371	25783
71	376	25743
72	380	25687
73	385	25648
74	390	25611
75	394	25569
76	399	25530
77	404	25495
78	408	25448
79	413	25403
80	417	25356
81	422	25327
82	426	25284
83	431	25243
84	435	25205
85	440	25184
86	445	25150
87	449	25105
88	454	25075
89	459	25050
90	463	25027
91	469	25021
92	473	24995
93	478	24969
94	482	24937
95	487	24915
96	492	24885
97	497	24861
98	501	24835
99	506	24810
100	510	24782
101	516	24821
102	521	24816
103	527	24834
104	532	24842
105	538	24857
106	543	24856
107	548	24852
108	553	24840
109	558	24825
110	563	24815
111	568	24819
112	573	24823
113	579	24836
114	584	24828
115	589	24828
116	594	24827
117	599	24821
118	604	24807
119	609	24795
120	614	24772
121	618	24742
122	623	24726
123	628	24715
124	633	24699
125	638	24687
126	642	24669
127	647	24656
128	652	24633
129	657	24617
130	661	24598
131	666	24579
132	671	24564
133	675	24541
134	680	24517
135	684	24497
136	689	24484
137	694	24458
138	698	24440
139	703	24421
140	708	24400
141	712	24385
142	717	24374
143	722	24360
144	727	24366
145	732	24360
146	737	24356
147	742	24356
148	747	24347
149	752	24345
150	758	24342
151	762	24329
152	767	24321
153	772	24306
154	777	24292
155	781	24274
156	786	24260
157	791	24245
158	795	24230
159	800	24216
160	805	24195
161	809	24179
162	814	24166
163	818	24150
164	823	24136
165	828	24117
166	832	24104
167	837	24090
168	842	24073
169	846	24057
170	851	24040
171	856	24029
172	860	24014
173	865	23997
174	869	23983
175	874	23969
176	879	23957
177	883	23940
178	888	23928
179	893	23916
180	897	23905
181	902	23892
182	907	23879
183	911	23866
184	916	23849
185	920	23834
186	925	23823
187	930	23812
188	934	23799
189	939	23786
190	944	23776
191	949	23764
192	953	23759
193	958	23748
194	963	23734
195	968	23727
196	972	23713
197	977	23703
198	981	23690
199	986	23677
200	991	23668
201	996	23658
202	1000	23648
203	1005	23637
204	1010	23629
205	1014	23618
206	1019	23607
207	1024	23597
208	1029	23589
209	1033	23578
210	1038	23570
211	1043	23560
212	1047	23550
213	1052	23538
214	1057	23532
215	1062	23532
216	1067	23534
217	1072	23532
218	1078	23534
219	1084	23554
220	1090	23585
221	1096	23605
222	1102	23624
223	1109	23652
224	1115	23671
225	1121	23688
226	1127	23705
227	1132	23706
228	1138	23719
229	1144	23743
230	1151	23767
231	1157	23780
232	1164	23816
233	1170	23834
234	1175	23836
235	1181	23847
236	1187	23855
237	1192	23860
238	1199	23896
239	1205	23901
240	1210	23912
